algo,samples,mean,std
xeb,2,0.02704558844643647,0.021576744646082016
qnn,2,0.0252232467502835,0.019497781873539927
shor,2,0.04286150324385247,0.03663183072168102
qec,2,0.030333003653484746,0.0257852340653076
xeb,4,0.07646081757016238,0.03770212485750955
qnn,4,0.05726673872589265,0.03617222674089594
shor,4,0.0986938317336989,0.05049539670037903
qec,4,0.08754482862551516,0.032922472196405046
xeb,6,0.09498480296068604,0.04403601175846201
qnn,6,0.07285475290793758,0.03549656501745986
shor,6,0.1285281831438131,0.05688326982583383
qec,6,0.11446927416744916,0.03399021631828738
xeb,8,0.12852828671812302,0.0341542064162819
qnn,8,0.1041532372145166,0.04093788530449156
shor,8,0.1577767870452972,0.05280528590646636
qec,8,0.1404051694625712,0.04351080461466333
xeb,10,0.1644812043325796,0.03977056604481455
qnn,10,0.1484946201234432,0.051963843666671276
shor,10,0.23244101565054506,0.06122980147893765
qec,10,0.17078402008543833,0.04136829605262088
xeb,12,0.19299718787507736,0.045188609056524574
qnn,12,0.16798673497822428,0.0468596751240824
shor,12,0.2686888869177442,0.06201335958298171
qec,12,0.21372539068974747,0.033384069082043256
xeb,14,0.19707772615982172,0.037902474119107216
qnn,14,0.19821613629768833,0.051658103639220326
shor,14,0.27775492880119435,0.06008266084864222
qec,14,0.24676618859433602,0.04982405655682927
xeb,16,0.2575127396765975,0.0490964851377755
qnn,16,0.22895036546545092,0.046804234811464764
shor,16,0.31739253505185805,0.06364926395841802
qec,16,0.30074529354337043,0.027074998928414737
xeb,18,0.27920363031987383,0.04980356878015617
qnn,18,0.2413214047838214,0.04566835481009451
shor,18,0.3369256674683305,0.07046347441720277
qec,18,0.32984950187161943,0.0372398728633202
xeb,20,0.32416358074569174,0.048222873460507264
qnn,20,0.29957258733073444,0.05240439960296451
shor,20,0.34855943442102877,0.058932292133728824
qec,20,0.3666756593157264,0.030373764717894044
xeb,22,0.34846792830012746,0.062052741642305856
qnn,22,0.3004054702219187,0.04949196415947764
