name,n_qubits,quito_confidence,ndd_confidence,morph_confidence,quito_gates_num,ndd_gates_num,morph_gates_num
qnn,3,100.0,/,100.0,5.0,/,103.0
qnn,5,100.0,/,100.0,5.0,/,180.5
qnn,7,100.0,/,100.0,5.0,/,307.5
qnn,9,0.0,/,100.0,5.0,/,501.0
qec,3,0.0,100.0,100.0,5.0,1911.0,98.5
qec,5,0.0,0.0,100.0,5.0,42775.0,173.5
qec,7,0.0,100,100.0,5.0,over $10^5$,328.0
qec,9,0.0,100,100.0,5.0,over $10^5$,492.5
shor,3,0.0,100.0,100.0,5.0,1996.0,100.5
shor,5,0.0,0.0,100.0,5.0,42883.0,187.5
shor,7,0.0,100,100.0,5.0,over $10^5$,342.5
shor,9,0.0,100,100.0,5.0,over $10^5$,519.5
xeb,3,0.0,100.0,100.0,5.0,2021.0,101.0
xeb,5,100.0,100.0,100.0,5.0,42896.0,170.0
xeb,7,98.0,100,100.0,5.0,over $10^5$,332.5
xeb,9,0.0,100,100.0,5.0,over $10^5$,481.5
